x,velocity_cm_s
-3.910256410256413240e+00,9.074717978713607636e+00
-3.906695156695159987e+00,9.173911897377067248e+00
-3.903133903133905847e+00,9.261419957129490399e+00
-3.899572649572652594e+00,9.355722120899955030e+00
-3.896011396011398897e+00,9.412520830490819890e+00
-3.892450142450145201e+00,9.447578407223929275e+00
-3.888888888888891948e+00,9.434261963348561153e+00
-3.885327635327638252e+00,9.384800886097210082e+00
-3.881766381766384555e+00,9.350286837685530372e+00
-3.878205128205131302e+00,9.381811480329275810e+00
-3.874643874643877606e+00,9.450024284670419661e+00
-3.871082621082623909e+00,9.567969930423686264e+00
-3.867521367521370657e+00,9.688633217784186513e+00
-3.863960113960116960e+00,9.806578863537481539e+00
-3.860398860398863263e+00,9.937569189005373005e+00
-3.856837606837610011e+00,1.003730663599029072e+01
-3.853276353276356314e+00,1.010307356288494418e+01
-3.849715099715102617e+00,1.013215232808221344e+01
-3.846153846153849365e+00,1.010062768543845380e+01
-3.842592592592595668e+00,1.004464426832976187e+01
-3.839031339031341972e+00,9.958766793541670381e+00
-3.835470085470088719e+00,9.879139894450176484e+00
-3.831908831908834578e+00,9.802230636965916233e+00
-3.828347578347581326e+00,9.787283608126202239e+00
-3.824786324786328073e+00,9.813101203394779759e+00
-3.821225071225073933e+00,9.879683422771620371e+00
-3.817663817663820680e+00,9.924252745129990672e+00
-3.814102564102567428e+00,9.961756199309604654e+00
-3.810541310541313287e+00,9.937297424844658167e+00
-3.806980056980060034e+00,9.883216356861026952e+00
-3.803418803418806338e+00,9.956864444416638094e+00
-3.799857549857552641e+00,1.015525228174352890e+01
-3.796296296296299388e+00,1.043353878232268528e+01
-3.792735042735045692e+00,1.102734347349986876e+01
-3.789173789173791995e+00,1.204781789701027606e+01
-3.785612535612538743e+00,1.325662488390089777e+01
-3.782051282051285046e+00,1.498477318193093311e+01
-3.778490028490031349e+00,1.711812184359719424e+01
-3.774928774928778097e+00,1.951317939203856611e+01
-3.771367521367524400e+00,2.174001492499311894e+01
-3.767806267806270704e+00,2.405028205528928709e+01
-3.764245014245017451e+00,2.652224886121493341e+01
-3.760683760683763754e+00,2.901188033758751317e+01
-3.757122507122510058e+00,3.159065045867679089e+01
-3.753561253561256805e+00,3.412159008747907762e+01
-3.750000000000003109e+00,3.663024505510217921e+01
-3.746438746438749412e+00,3.910492950263504497e+01
-3.742877492877496159e+00,4.160869271536512315e+01
-3.739316239316242019e+00,4.384911645635578736e+01
-3.735754985754988766e+00,4.600909800577279896e+01
-3.732193732193735514e+00,4.834409567469462843e+01
-3.728632478632481373e+00,5.045515967518170442e+01
-3.725071225071228120e+00,5.201155302363554256e+01
-3.721509971509974424e+00,5.310051201564786538e+01
-3.717948717948720727e+00,5.420985331971431265e+01
-3.714387464387467475e+00,5.567384685352272555e+01
-3.710826210826213778e+00,5.723187078694090246e+01
-3.707264957264960081e+00,5.896463907570321794e+01
-3.703703703703706829e+00,6.074007433769884301e+01
-3.700142450142453132e+00,6.262448702814392476e+01
-3.696581196581199436e+00,6.445210100899814165e+01
-3.693019943019946183e+00,6.608540361493624005e+01
-3.689458689458692486e+00,6.747085730629606815e+01
-3.685897435897438790e+00,6.893186143433655388e+01
-3.682336182336185537e+00,7.019474948921083524e+01
-3.678774928774931841e+00,7.112010645646863338e+01
-3.675213675213678144e+00,7.161363017233944106e+01
-3.671652421652424891e+00,7.227863707362573109e+01
