x,velocity_cm_s
-4.102109155983938216e+00,2.588990630968692130e+01
-4.098270388350658600e+00,2.564689869480737627e+01
-4.094431620717378983e+00,2.539681013679800969e+01
-4.090592853084099367e+00,2.515287811681012897e+01
-4.086754085450819751e+00,2.493176041489601857e+01
-4.082915317817539247e+00,2.473623024638065715e+01
-4.079076550184259631e+00,2.458636569021709306e+01
-4.075237782550980015e+00,2.448475508070875151e+01
-4.071399014917700399e+00,2.440279732380362532e+01
-4.067560247284420782e+00,2.429403181875672146e+01
-4.063721479651141166e+00,2.421834152848612121e+01
-4.059882712017861550e+00,2.419053542282736657e+01
-4.056043944384581934e+00,2.419423304326072355e+01
-4.052205176751302318e+00,2.421286905024477676e+01
-4.048366409118022702e+00,2.426069777055009524e+01
-4.044527641484743086e+00,2.433429890527587247e+01
-4.040688873851463470e+00,2.443006727449954951e+01
-4.036850106218183853e+00,2.454800287822112637e+01
-4.033011338584904237e+00,2.470541058006871538e+01
-4.029172570951624621e+00,2.490210549902056414e+01
-4.025333803318345005e+00,2.506794377545617181e+01
-4.021495035685065389e+00,2.522561031073406923e+01
-4.017656268051785773e+00,2.538751062140813985e+01
-4.013817500418506157e+00,2.554837559836086314e+01
-4.009978732785226541e+00,2.570275125145309403e+01
-4.006139965151946924e+00,2.584878877046811851e+01
-4.002301197518667308e+00,2.600194420881732071e+01
-3.998462429885387248e+00,2.616018387526239053e+01
-3.994623662252107632e+00,2.632147407856494681e+01
-3.990784894618828016e+00,2.648378112748670787e+01
-3.986946126985548400e+00,2.667626075914456862e+01
-3.983107359352268784e+00,2.686605961598823455e+01
-3.979268591718988723e+00,2.705151376882274405e+01
-3.975429824085709107e+00,2.723095928845303604e+01
-3.971591056452429491e+00,2.740273224568416310e+01
-3.967752288819149875e+00,2.757886839502660337e+01
-3.963913521185870259e+00,2.774039894365738235e+01
-3.960074753552590643e+00,2.788584484340304925e+01
-3.956235985919311027e+00,2.801372704609033804e+01
-3.952397218286031411e+00,2.812256650354588317e+01
-3.948558450652751795e+00,2.821088416759639017e+01
-3.944719683019472178e+00,2.829469073471815932e+01
-3.940880915386192562e+00,2.837269203775960591e+01
-3.937042147752912946e+00,2.842628904594097605e+01
-3.933203380119633330e+00,2.847186221778197535e+01
-3.929364612486353270e+00,2.849478746446872890e+01
-3.925525844853073654e+00,2.851163012554262366e+01
-3.921687077219794038e+00,2.850795099321142345e+01
-3.917848309586514421e+00,2.848301054338851657e+01
-3.914009541953234805e+00,2.845355899663692867e+01
-3.910170774319955189e+00,2.844032151548555021e+01
-3.906332006686675573e+00,2.841571385150159301e+01
-3.902493239053395957e+00,2.836585143995792180e+01
-3.898654471420116341e+00,2.829415457975534309e+01
-3.894815703786836281e+00,2.822134843342276156e+01
-3.890976936153556665e+00,2.813696873513379160e+01
-3.887138168520277048e+00,2.805776570545150150e+01
-3.883299400886997432e+00,2.798299982028923694e+01
-3.879460633253717816e+00,2.792942130021003777e+01
-3.875621865620438200e+00,2.788277581844336339e+01
-3.871783097987158584e+00,2.782880904821868739e+01
